STATUS,MNET_ID,ELEVATION,NAME,SHORTNAME,DISTANCE,SGID,NWSFIREZONE,STID,LONGITUDE,COUNTY,CWA,STATE,NWSZONE,LATITUDE,TIMEZONE,GACC,COUNTRY,ID
ACTIVE,203,1450,"NISQUALLY RIVER NEAR NATIONAL, WA",USGS HYDRO,16.64,NW02,SEW657,USGSHY747,-122.0837194,Pierce,SEW,WA,WA569,46.75260766,America/Los_Angeles,NWCC,US,45630
ACTIVE,203,650,"WHITE RIVER ABOVE BOISE CREEK AT BUCKLEY, WA",USGS HYDRO,24.93,NW01,SEW657,USGSHY753,-122.0080556,King,SEW,WA,WA555,47.17388889,America/Los_Angeles,NWCC,US,45636
ACTIVE,203,759.29,"COWLITZ RIVER NEAR KOSMOS, WA",USGS HYDRO,31.36,NW02,SEW655,USGSHY757,-122.1089856,Lewis,SEW,WA,WA569,46.4662217,America/Los_Angeles,NWCC,US,45640
ACTIVE,203,2700,"AMERICAN RIVER NEAR NILE, WA",USGS HYDRO,29.39,NW05,OTX680,USGSHY758,-121.168696,Yakima,PDT,WA,WA520,46.97761606,America/Los_Angeles,NWCC,US,45641
ACTIVE,203,NA,"WHITE RIVER BELOW CLEARWATER RIVER NR BUCKLEY, WA",USGS HYDRO,20.75,NW02,SEW659,USGSHY768,-121.8601066,King,SEW,WA,WA569,47.1467703,America/Los_Angeles,NWCC,US,45651
ACTIVE,203,1201.7,"CARBON RIVER NEAR FAIRFAX, WA",USGS HYDRO,17.47,NW02,SEW659,USGSHY772,-122.0326105,Pierce,SEW,WA,WA569,47.02788105,America/Los_Angeles,NWCC,US,45655
ACTIVE,203,675,"WHITE RIVER FLUME AT BUCKLEY, WA",USGS HYDRO,24.75,NW01,SEW657,USGSHY785,-122.012056,Pierce,SEW,WA,WA555,47.1695462,America/Los_Angeles,NWCC,US,45668
ACTIVE,203,NA,"PUYALLUP RIVER AT ALDERTON, WA",USGS HYDRO,31.7,NW01,SEW657,USGSHY812,-122.2295625,Pierce,SEW,WA,WA509,47.18510115,America/Los_Angeles,NWCC,US,45695
ACTIVE,203,1048,"COWLITZ RIVER AT PACKWOOD, WA",USGS HYDRO,17.12,NW02,SEW655,USGSHY820,-121.6792552,Lewis,SEW,WA,WA569,46.61288969,America/Los_Angeles,NWCC,US,45703
ACTIVE,203,1340,"MINERAL CREEK NEAR MINERAL, WA",USGS HYDRO,19.5,NW02,SEW657,USGSHY833,-122.1445534,Lewis,SEW,WA,WA569,46.74427397,America/Los_Angeles,NWCC,US,45716
ACTIVE,203,990,"GREEN RIVER BELOW HOWARD A HANSON DAM, WA",USGS HYDRO,29.76,NW01,SEW659,USGSHY863,-121.797885,King,SEW,WA,WA568,47.2837143,America/Los_Angeles,NWCC,US,45746
ACTIVE,203,400,"SOUTH PRAIRIE CREEK AT SOUTH PRAIRIE, WA",USGS HYDRO,25.09,NW01,SEW657,USGSHY867,-122.0926135,Pierce,SEW,WA,WA555,47.13954628,America/Los_Angeles,NWCC,US,45750
ACTIVE,203,490,"NISQUALLY RIVER AT LA GRANDE, WA",USGS HYDRO,26.71,NW01,SEW655,USGSHY869,-122.3292809,Pierce,SEW,WA,WA504,46.83927048,America/Los_Angeles,NWCC,US,45752
